filename,height,weight,label,xmin,ymin,xmax,ymax,path
Bear_0,682,1024,Bear,192.799744,81.55219600000001,848.0,605.2449919999999,./Bear_0.jpg
Bear_1,683,1024,Bear,389.12,148.004734,800.64,649.682577,./Bear_1.jpg
Bear_10,678,1024,Bear,314.24,56.339766000000004,641.28,618.458718,./Bear_10.jpg
Bear_11,1024,702,Bear,77.501502,211.84,589.910256,951.68,./Bear_11.jpg
Bear_12,683,1024,Bear,26.88,73.041386,530.56,521.540166,./Bear_12.jpg
Bear_13,481,1024,Bear,102.4,119.12926999999999,873.6,418.23286699999994,./Bear_13.jpg
Bear_14,768,1024,Bear,419.84,497.91974400000004,576.0,595.2,./Bear_14.jpg
Bear_15,680,1024,Bear,356.48,208.73823999999996,566.4,605.08508,./Bear_15.jpg
Bear_16,842,1024,Bear,225.28,412.995948,495.36,692.168626,./Bear_16.jpg
Bear_17,1024,802,Bear,174.23209399999996,314.053632,577.22747,652.7252480000001,./Bear_17.jpg
Bear_18,768,1024,Bear,260.799488,0.0,1022.4005119999999,561.5999999999999,./Bear_18.jpg
Bear_19,683,1024,Bear,99.2,0.0,1023.36,682.3593460000001,./Bear_19.jpg
Bear_2,484,1024,Bear,12.8,0.0,1022.577664,482.57655600000004,./Bear_2.jpg
Bear_20,768,1024,Bear,348.000256,200.000256,699.200512,574.400256,./Bear_20.jpg
Bear_21,484,1024,Bear,35.555328,0.0,1022.577664,482.57655600000004,./Bear_21.jpg
Bear_22,768,1024,Bear,216.00051200000001,96.0,570.399744,712.8,./Bear_22.jpg
Bear_23,1024,1024,Bear,16.73216,155.60806399999998,1022.326784,1022.326784,./Bear_23.jpg
Bear_24,811,1024,Bear,0.0,37.562276000000004,1022.292992,809.292845,./Bear_24.jpg
Bear_25,1024,683,Bear,193.495266,178.56,404.289556,398.08,./Bear_25.jpg
Bear_26,768,1024,Bear,164.48,214.400256,629.12,588.159744,./Bear_26.jpg
Bear_27,768,1024,Bear,313.6,88.959744,702.08,735.999744,./Bear_27.jpg
Bear_28,1024,683,Bear,108.28077099999999,98.56,479.253587,968.96,./Bear_28.jpg
Bear_29,767,1024,Bear,0.0,75.547199,914.56,766.359555,./Bear_29.jpg
Bear_3,689,1024,Bear,533.000192,237.00015299999998,810.999808,430.999816,./Bear_3.jpg
Bear_30,668,1024,Bear,171.5968,238.47199199999997,535.716864,656.8437319999999,./Bear_30.jpg
Bear_31,683,1024,Bear,51.84,0.0,1023.36,682.3593460000001,./Bear_31.jpg
Bear_32,684,1024,Bear,401.28,46.752767999999996,891.52,626.3593199999999,./Bear_32.jpg
Bear_33,670,1024,Bear,99.668992,161.01842000000002,811.008,635.88628,./Bear_33.jpg
Bear_34,768,1024,Bear,499.84,171.519744,614.4,344.96025599999996,./Bear_34.jpg
Bear_35,883,1024,Bear,45.44,21.13019,1013.76,882.359825,./Bear_35.jpg
Bear_36,768,1024,Bear,295.68,264.320256,769.28,743.04,./Bear_36.jpg
Bear_37,683,1024,Bear,300.16,0.0,1023.36,682.3593460000001,./Bear_37.jpg
Bear_38,768,1024,Bear,458.39974400000006,260.799744,623.200256,404.799744,./Bear_38.jpg
Bear_39,768,1024,Bear,0.0,71.03999999999999,764.16,767.360256,./Bear_39.jpg
Bear_4,819,1024,Bear,321.422336,14.218659,1014.755328,691.03125,./Bear_4.jpg
Bear_40,768,1024,Bear,90.24,174.72,205.44,254.079744,./Bear_40.jpg
Bear_41,680,1024,Bear,382.72,15.367320000000001,902.4,334.23699999999997,./Bear_41.jpg
Bear_42,1024,1024,Bear,148.48,128.64,362.24,515.2,./Bear_42.jpg
Bear_43,768,1024,Bear,312.800256,131.19974399999998,730.399744,707.199744,./Bear_43.jpg
Bear_44,887,1024,Bear,119.04,157.43274300000002,948.48,820.4430679999999,./Bear_44.jpg
Bear_45,575,1024,Bear,144.0,76.83725,1023.36,574.35945,./Bear_45.jpg
Bear_46,683,1024,Bear,312.32,123.01717900000001,742.4,561.905466,./Bear_46.jpg
Bear_47,1024,683,Bear,205.966846,560.0,422.60625,684.8,./Bear_47.jpg
Bear_48,1024,685,Bear,35.837145,92.16,683.975925,1022.976,./Bear_48.jpg
Bear_49,680,1024,Bear,0.0,26.89264,571.52,679.35944,./Bear_49.jpg
Bear_5,1024,768,Bear,127.22304,266.985472,610.8034560000001,579.24608,./Bear_5.jpg
Bear_50,827,1024,Bear,0.0,0.0,992.64,826.359902,./Bear_50.jpg
Bear_51,680,1024,Bear,250.999808,294.00004,606.000128,484.99980000000005,./Bear_51.jpg
Bear_52,768,1024,Bear,348.8,284.15999999999997,618.88,417.920256,./Bear_52.jpg
Bear_53,683,1024,Bear,227.84,105.717472,511.36,636.2281600000001,./Bear_53.jpg
Bear_54,768,1024,Bear,55.04,192.0,791.68,686.079744,./Bear_54.jpg
Bear_55,683,1024,Bear,190.08,123.01717900000001,953.6,570.875305,./Bear_55.jpg
Bear_56,768,1024,Bear,521.6,335.36025600000005,824.96,535.040256,./Bear_56.jpg
Bear_57,768,1024,Bear,98.56,245.76,844.8,575.360256,./Bear_57.jpg
Bear_58,726,1024,Bear,457.6,204.22743000000003,798.72,631.8886200000001,./Bear_58.jpg
Bear_59,683,1024,Bear,190.08,0.0,1023.36,682.3593460000001,./Bear_59.jpg
Bear_6,1024,683,Bear,55.74236199999999,0.0,682.3593460000001,923.52,./Bear_6.jpg
Bear_60,683,1024,Bear,372.48,158.896535,948.48,656.0898,./Bear_60.jpg
Bear_61,1011,1024,Bear,143.167488,105.64040100000001,884.324352,860.834148,./Bear_61.jpg
Bear_62,683,1024,Bear,305.28,8.969839,763.52,682.3593460000001,./Bear_62.jpg
Bear_63,1024,685,Bear,85.065355,98.56,684.36021,1023.36,./Bear_63.jpg
Bear_64,913,1024,Bear,71.68,52.463719,1010.56,912.3599869999999,./Bear_64.jpg
Bear_65,683,1024,Bear,57.6,131.987018,611.2,682.3593460000001,./Bear_65.jpg
Bear_66,683,1024,Bear,459.52,202.915885,712.32,576.100938,./Bear_66.jpg
Bear_67,768,1024,Bear,64.64,161.4144,942.08,539.3295360000001,./Bear_67.jpg
Bear_68,580,1024,Bear,149.332992,134.33844,812.8,460.58844,./Bear_68.jpg
Bear_69,768,1024,Bear,227.2,310.400256,600.000512,553.599744,./Bear_69.jpg
Bear_7,680,1024,Bear,40.96,171.60072000000002,864.0,678.71956,./Bear_7.jpg
Bear_70,680,1024,Bear,132.48,84.51992,563.2,620.45172,./Bear_70.jpg
Bear_71,682,1024,Bear,30.399488,184.107946,947.2,549.121848,./Bear_71.jpg
Bear_72,1024,669,Bear,185.47824299999996,152.32,532.129959,871.68,./Bear_72.jpg
Bear_73,1024,768,Bear,0.0,168.32,625.92,1023.36,./Bear_73.jpg
Bear_74,576,1024,Bear,484.799488,142.399872,749.599744,326.400192,./Bear_74.jpg
Bear_75,1024,707,Bear,100.54247000000001,145.92,548.8214760000001,940.16,./Bear_75.jpg
Bear_76,768,960,Bear,0.0,0.0,946.8,715.2,./Bear_76.jpg
Bear_77,768,1024,Bear,224.64,144.639744,702.08,603.519744,./Bear_77.jpg
Bear_78,680,1024,Bear,247.68,313.4528,346.24,399.81212,./Bear_78.jpg
Bear_79,484,1024,Bear,8.532992,0.0,1022.577664,482.57655600000004,./Bear_79.jpg
Bear_8,768,1024,Bear,330.000384,123.99974399999999,938.0003839999999,745.9998720000001,./Bear_8.jpg
Bear_80,384,1024,Bear,101.376,159.744,329.728,300.03187199999996,./Bear_80.jpg
Bear_81,680,1024,Bear,322.56,188.24848000000003,702.72,509.67972,./Bear_81.jpg
Bear_82,1024,979,Bear,97.25973400000001,46.08,978.359734,1023.36,./Bear_82.jpg
Bear_83,687,1024,Bear,0.0,0.0,855.04,686.360403,./Bear_83.jpg
Bear_84,680,1024,Bear,359.04,150.47108,1015.04,637.74004,./Bear_84.jpg
